bank_record_id,date,narration,amount,bank_name,utr_reference
BANK-42-000001,2025-10-06,UPI/CR/464203258876/Zomato Ltd/Kotak,36253.54,Kotak,
BANK-42-000002,2026-01-14,UPI-Swiggy Bundl Technologies-978922777315@ICICI-CREDIT,44021.97,ICICI,
BANK-42-000003,2025-05-07,UPI/925252407861/Sundaram Logistics Pvt Ltd/IDFC First/CREDIT,37569.27,IDFC First,
BANK-42-000004,2025-05-28,UPI/772586859019/BigBasket Supermarket Pvt Ltd/ICICI/CREDIT,96541.39,ICICI,
BANK-42-000005,2025-11-14,UPI-Swiggy Bundl Technologies-743832743817@HDFC-CREDIT,23111.25,HDFC,
BANK-42-000006,2025-06-20,UPI-Meesho Inc-830720088172@Kotak-CREDIT,96421.79,Kotak,
BANK-42-000007,2026-02-28,UPI-Freshworks Inc-568954896923@ICICI-CREDIT,8310.97,ICICI,
BANK-42-000008,2026-04-20,UPI/CR/025382181618/Cred Avenue Pvt Ltd/Axis,79423.51,Axis,
BANK-42-000009,2025-10-09,UPI/CR/602455683880/Nykaa E-Retail Pvt Ltd/Axis,57420.19,Axis,
BANK-42-000010,2025-11-04,UPI/918064802938/Ola Fleet Technologies/Axis/CREDIT,38538.37,Axis,
BANK-42-000011,2025-05-20,UPI/CR/159434389125/Anand Freelance Studio/HDFC,27986.58,HDFC,
BANK-42-000012,2025-02-24,UPI/CR/351200144719/Swiggy Bundl Technologies/HDFC,27546.35,HDFC,
BANK-42-000013,2025-12-01,UPI-BigBasket Supermarket Pvt Ltd-146738023091@IDFC First-CREDIT,23951.57,IDFC First,
BANK-42-000014,2026-04-02,UPI-Anand Freelance Studio-102970549787@IDFC First-CREDIT,48205.17,IDFC First,
BANK-42-000015,2026-05-03,UPI/CR/280879284719/Tata Consultancy Services/Yes Bank,19600.0,Yes Bank,
BANK-42-000016,2026-04-21,UPI/CR/689123628474/Ola Fleet Technologies/Axis,51764.39,Axis,
BANK-42-000017,2025-02-06,UPI/097335797122/Sundaram Logistics Pvt Ltd/SBI/CREDIT,55254.61,SBI,
BANK-42-000018,2025-11-07,UPI/CR/091452364966/Swiggy Bundl Technologies/HDFC,56889.64,HDFC,
BANK-42-000019,2026-04-14,UPI/CR/795356235781/Meesho Inc/Yes Bank,58239.31,Yes Bank,
BANK-42-000020,2026-03-22,UPI/CR/510811166283/Vikram Enterprises/ICICI,56678.1,ICICI,
BANK-42-000021,2026-02-01,UPI/822388384590/Nykaa E-Retail Pvt Ltd/Yes Bank/CREDIT,57461.93,Yes Bank,
BANK-42-000022,2025-02-17,UPI/353681646936/Priya Menon Consulting/Kotak/CREDIT,72114.16,Kotak,
BANK-42-000023,2026-04-29,UPI-Infosys BPM Ltd-219471314830@SBI-CREDIT,85807.65,SBI,
BANK-42-000024,2026-03-04,UPI/209972137744/Swiggy Bundl Technologies/ICICI/CREDIT,52527.6,ICICI,
BANK-42-000025,2025-09-14,UPI/769033256502/BigBasket Supermarket Pvt Ltd/ICICI/CREDIT,24144.73,ICICI,
BANK-42-000026,2025-04-15,UPI-Infosys BPM Ltd-582806119107@HDFC-CREDIT,108180.32,HDFC,
BANK-42-000027,2026-08-04,UPI/144448155253/Anand Freelance Studio/SBI/CREDIT,27064.15,SBI,
BANK-42-000028,2025-05-21,UPI-Razorpay Software Pvt Ltd-199464857962@IDFC First-CREDIT,48705.66,IDFC First,
BANK-42-000029,2026-08-20,UPI-Urban Company-726119811060@Kotak-CREDIT,48134.18,Kotak,
BANK-42-000030,2025-12-08,UPI/458771461755/Tata Consultancy Services/SBI/CREDIT,19195.91,SBI,
