invoice_id,counterparty_canonical,expected_amount,expected_date,payment_method,status
INV-42-000001,Zomato Ltd,5181.45,2025-04-15,NEFT,paid
INV-42-000002,Swiggy Bundl Technologies,7156.29,2025-08-12,UPI,paid
INV-42-000003,Zomato Ltd,7156.29,2025-08-13,UPI,paid
INV-42-000004,Urban Company,2833.08,2025-01-07,RTGS,paid
INV-42-000005,BigBasket Supermarket Pvt Ltd,5234.01,2025-12-11,UPI,paid
INV-42-000006,Infosys BPM Ltd,5839.61,2025-02-14,NEFT,paid
INV-42-000007,Sundaram Logistics Pvt Ltd,5331.28,2026-01-06,NEFT,paid
INV-42-000008,Zomato Ltd,4486.35,2025-03-23,card,paid
INV-42-000009,Infosys BPM Ltd,5252.07,2025-06-16,UPI,paid
INV-42-000010,Razorpay Software Pvt Ltd,9929.7,2025-09-08,UPI,paid
INV-42-000011,Sundaram Logistics Pvt Ltd,13198.81,2025-11-29,RTGS,paid
INV-42-000012,Razorpay Software Pvt Ltd,2820.49,2025-10-02,UPI,paid
INV-42-000013,Meesho Inc,12423.09,2026-05-27,UPI,paid
INV-42-000014,BigBasket Supermarket Pvt Ltd,12423.09,2026-05-29,UPI,paid
INV-42-000015,Urban Company,3354.9,2026-08-21,UPI,paid
INV-42-000016,Sundaram Logistics Pvt Ltd,8235.25,2025-02-18,card,paid
INV-42-000017,Swiggy Bundl Technologies,16162.48,2026-01-30,UPI,paid
INV-42-000018,Urban Company,14852.36,2025-10-01,RTGS,unpaid
INV-42-000019,Tata Consultancy Services,27536.4,2026-05-28,RTGS,paid
INV-42-000020,Swiggy Bundl Technologies,27498.19,2026-06-04,NEFT,paid
INV-42-000021,Deepika Textiles Pvt Ltd,10664.23,2026-06-28,card,paid
INV-42-000022,Nykaa E-Retail Pvt Ltd,3162.96,2025-11-11,UPI,paid
INV-42-000023,Meesho Inc,8584.91,2026-05-02,card,paid
INV-42-000024,Urban Company,22499.54,2026-02-13,card,paid
INV-42-000025,BigBasket Supermarket Pvt Ltd,8357.15,2025-08-19,UPI,paid
INV-42-000026,Urban Company,9297.85,2025-03-02,UPI,paid
INV-42-000027,PharmEasy Health Solutions,3396.36,2026-05-13,UPI,paid
INV-42-000028,Anand Freelance Studio,3396.36,2026-05-11,card,paid
INV-42-000029,Razorpay Software Pvt Ltd,7552.42,2025-04-07,UPI,paid
INV-42-000030,BigBasket Supermarket Pvt Ltd,6714.85,2025-04-11,UPI,paid
INV-42-000031,Ola Fleet Technologies,3841.99,2026-07-04,UPI,paid
INV-42-000032,Tata Consultancy Services,4301.51,2026-07-18,UPI,paid
INV-42-000033,Urban Company,13530.31,2026-02-21,UPI,paid
INV-42-000034,BigBasket Supermarket Pvt Ltd,2704.56,2026-02-04,UPI,paid
INV-42-000035,BigBasket Supermarket Pvt Ltd,500.15,2026-07-24,NEFT,paid
INV-42-000036,Freshworks Inc,11939.4,2025-11-18,UPI,paid
INV-42-000037,Nykaa E-Retail Pvt Ltd,15465.19,2026-06-05,UPI,paid
INV-42-000038,Meesho Inc,11541.68,2025-05-03,card,paid
INV-42-000039,Meesho Inc,14169.78,2025-11-20,card,paid
INV-42-000040,Priya Menon Consulting,4155.77,2025-11-04,UPI,paid
INV-42-000041,Vikram Enterprises,9027.81,2026-07-05,UPI,paid
INV-42-000042,Vikram Enterprises,6379.36,2026-07-11,NEFT,paid
INV-42-000043,Sundaram Logistics Pvt Ltd,16298.19,2025-04-17,card,paid
INV-42-000044,Swiggy Bundl Technologies,2083.89,2025-10-06,UPI,paid
INV-42-000045,Infosys BPM Ltd,57997.69,2026-06-02,UPI,paid
